State,Dataset,URL,exist,exist comments,digital,digital comments,public,public comments,free,free comments,online,online comments,machine-readable,machine-readable comments,bulk,bulk comments,license,license comments,up-to-date,up-to-date comments,in repo,in repo comments,verifiable,verifiable comments,complete,complete comments,comments
New Jersey,Checkbook,http://www.yourmoney.nj.gov/transparency/expenditures/,1,,1,,1,,1,,1,,1,,1,If exported from portal.,0,Copyright statement in footer.,,,1,,1,Repo uses SSL.,1,,
New Jersey,Address Points,no,0,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Legislative Data,http://www.njleg.state.nj.us/downloads.asp,1,,1,,1,,1,,1,,1,As a Microsoft Access database.,1,,0,Copyright statement in footer.,1,,0,,0,,1,,
New Jersey,Restaurant Inspections,no,0,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Population Projections,http://lwd.dol.state.nj.us/labor/lpa/dmograph/lfproj/lfproj_index.html,1,,1,,1,,1,,1,,1,Excel files.,1,,0,Copyright statement in footer.,0,Last updated perhaps five years ago.,,repo down at the moment,0,,0,Does not provide GNIS IDs.,
New Jersey,Vehicle Crashes,http://www.state.nj.us/transportation/refdata/accident/,1,,1,,1,,1,,1,,0,PDFs.,0,,0,Copyright statement in footer.,0,Last updated two years ago.,,repo down at the moment,0,,0,"These are statistics, not data.",
New York,Companies,https://data.ny.gov/Economic-Development/Active-Corporations-Beginning-1800/n9v6-gdp6,1,,1,,1,,1,,1,,1,,1,If exported from portal.,0,"Complicated, restrictive TOS.",0,,1,,1,Repo uses SSL.,0,"Corporation status, state formed, officers, and shares are not provided. Because this includes corporate records back to 1800, the lack of a status is especially problematic.",
New York,Incarceration,https://data.ny.gov/Public-Safety/Inmates-Under-Custody-Beginning-2008/55zc-sp6m,1,,1,,1,,1,,1,,1,,1,If exported from portal.,0,"Complicated, restrictive TOS.",0,Last updated four months ago.,1,,1,Repo uses SSL.,0,"This is raw data, not aggregated in any way. It would be challenging to generate conformant records from this data.",
New York,State-Owned Real Estate,http://www.tax.ny.gov/research/property/valuation/sol/index.htm,1,,0,,,,,,,,,,,,,,,,,,,,,,
New York,Checkbook,http://www.openbooknewyork.com/,1,,1,,1,,1,,1,,1,,1,If exported.,0,Copyright statement in footer.,1,,1,,0,,0,Does not provide transaction-level data.,
New York,Address Points,http://gisservices.dhses.ny.gov/arcgis/rest/services/SAM_Address_Points/MapServer/1,1,,1,,1,,1,,1,,1,,1,https://data.cityofnewyork.us/City-Government/NYC-Address-Points/4iq4-tuhq,0,Not specified.,1,,1,,1,Repo uses SSL.,1,,
New York,Legislative Data,http://www.nysenate.gov/open,,,,,,,,,,,,,,,,,,,,,,,,,There is no one legislative site. Not sure how to handle this.
New York,Restaurant Inspections,https://health.data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,1,,1,,1,,1,,1,,1,,1,If exported.,0,"Complicated, restrictive TOS.",0,Most recent data is from two months ago.,1,,1,Repo uses SSL.,1,,
New York,Population Projections,http://pad.human.cornell.edu/counties/projections.cfm,1,,1,,1,,1,,1,,1,,1,,0,Not specified.,0,Appears to be about five years out of date (contains projections for the current year).,0,,0,,0,Does not provide GNIS IDs.,
New York,Vehicle Crashes,http://dmv.ny.gov/org/about-dmv/statistical-summaries,1,,1,,1,,1,,1,,1,,1,,0,"Complicated, restrictive TOS.",0,Most recent data is from 2012.,1,,1,,0,"It looks like it’s possible to assemble complete data, by downloading and combining multiple tables.",
North Carolina,Companies,http://www.secretary.state.nc.us/corporations/,1,,1,,1,,1,,1,,0,,0,,0,Not specified.,1,,0,NC has no repo.,0,,0,,
North Carolina,Incarceration,http://webapps6.doc.state.nc.us/apps/asqExt/ASQ,1,,1,,1,,1,,1,,0,,0,,0,Not specified.,1,,0,NC has no repo.,0,,0,Doesn't appear to provide per-facility data.,
North Carolina,State-Owned Real Estate,http://www.ncspo.com/fis/,1,,1,,1,,1,,1,,0,,0,,0,Not specified.,1,,0,NC has no repo.,0,,1,,
North Carolina,Checkbook,http://www.ncopenbook.gov/,0,,,,,,,,,,,,,,,,,,0,NC has no repo.,,,,,
